rxn_id,rxn_smiles,solvent,temp,G_act,G_r
18,[C:10](=[N+:11]([C-:12]([C:13]([H:18])([H:19])[H:20])[H:17])[H:16])([H:14])[H:15].[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]2>>[F:1][C:2]12[C:3]([F:4])([C:5]3([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]3)[C:12]([C:13]([H:18])([H:19])[H:20])([H:17])[N:11]([H:16])[C:10]2([H:14])[H:15],water,298.15,6.576977403964177,-74.9917929224304
19,[C:10](=[N+:11]([C-:12]([C:13]([H:18])([H:19])[H:20])[H:17])[H:16])([H:14])[H:15].[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]([H:22])=[C:7]([H:23])[C:8]1([H:24])[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[C:5]2([H:21])[C:6]3([H:22])[C:7]([H:23])([C:8]1([H:24])[O:9]2)[C:12]([C:13]([H:18])([H:19])[H:20])([H:17])[N:11]([H:16])[C:10]3([H:14])[H:15],water,298.15,10.600451111291504,-58.75085379463204
20,[C:10]([C:11](=[N+:12]([C:13]([H:19])([H:20])[H:21])[N-:14][H:22])[H:18])([H:15])([H:16])[H:17].[C:1]([C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9])([H:23])([H:24])[H:25]>>[C:1]([C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[N:14]([H:22])[N:12]([C:13]([H:19])([H:20])[H:21])[C:11]1([C:10]([H:15])([H:16])[H:17])[H:18])([H:23])([H:24])[H:25],water,298.15,6.160372383013248,-6.6584155462387145
22,[C:1]([O:2][C:3]([O:4][C:5]([H:17])([H:18])[H:19])=[C:6]([F:7])[F:8])([H:14])([H:15])[H:16].[C:9]([C-:10]([C:11]([H:23])([H:24])[H:25])[N+:12]#[N:13])([H:20])([H:21])[H:22]>>[C:1]([O:2][C:3]1([O:4][C:5]([H:17])([H:18])[H:19])[C:6]([F:7])([F:8])[C:10]([C:9]([H:20])([H:21])[H:22])([C:11]([H:23])([H:24])[H:25])[N:12]=[N:13]1)([H:14])([H:15])[H:16],water,298.15,24.07477281558775,-31.293542360885517
23,[C:1]([O:2][C:3]([O:4][C:5]([H:17])([H:18])[H:19])=[C:6]([F:7])[F:8])([H:14])([H:15])[H:16].[C:9]([C-:10]([C:11]([H:23])([H:24])[H:25])[N+:12]#[N:13])([H:20])([H:21])[H:22]>>[C:1]([O:2][C:3]1([O:4][C:5]([H:17])([H:18])[H:19])[C:6]([F:7])([F:8])[N:13]=[N:12][C:10]1([C:9]([H:20])([H:21])[H:22])[C:11]([H:23])([H:24])[H:25])([H:14])([H:15])[H:16],water,298.15,26.674148058102805,-27.190828653938823
24,[C:7]([C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14])([H:15])([H:16])[H:17].[C:1](#[C:2][C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[H:18]>>[C:1]1([H:18])=[C:2]([C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([C:7]([H:15])([H:16])[H:17])=[O:9],water,298.15,4.4482037793433165,-73.53875204970079
25,[C:7]([C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14])([H:15])([H:16])[H:17].[C:1](#[C:2][C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[H:18]>>[C:1]1([H:18])=[C:2]([C:3](=[O:4])[O:5][C:6]([H:19])([H:20])[H:21])[N:10]([C:8]([C:7]([H:15])([H:16])[H:17])=[O:9])[O:11][N:12]1[C:13]#[N:14],water,298.15,5.025011958494998,-70.4820678722588
26,[C:8]([N-:9][N+:10]#[C:11][C:12]([C:13]([H:18])([H:19])[H:20])=[O:14])([H:15])([H:16])[H:17].[C:1]1([H:21])=[C:2]([H:22])[C:3]2([H:23])[C:4]([H:24])=[C:5]([H:25])[C:6]1([H:26])[O:7]2>>[C:1]1([H:21])=[C:2]([H:22])[C:3]2([H:23])[C:4]3([H:24])[C:5]([H:25])([C:6]1([H:26])[O:7]2)[N:9]([C:8]([H:15])([H:16])[H:17])[N:10]=[C:11]3[C:12]([C:13]([H:18])([H:19])[H:20])=[O:14],water,298.15,13.976855666416348,-63.624372619317896
27,[C:1]1([H:15])=[C:2]([H:16])[C:3]2([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]1([H:22])[C:7]2([H:23])[H:24].[C:8](#[N+:9][C-:10]([C:11](=[O:12])[O:13][C:14]([H:27])([H:28])[H:29])[H:26])[H:25]>>[C:1]12([H:15])[C:2]([H:16])([C:3]3([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]1([H:22])[C:7]3([H:23])[H:24])[C:10]([C:11](=[O:12])[O:13][C:14]([H:27])([H:28])[H:29])([H:26])[N:9]=[C:8]2[H:25],water,298.15,12.68209899042414,-57.1572689798146
28,[C:1](/[C:2]([F:3])=[C:4](\[C:5]([H:18])([H:19])[H:20])[F:6])([H:15])([H:16])[H:17].[C:7]([C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14])([H:21])([H:22])[H:23]>>[C:1]([C@@:2]1([F:3])[C@:4]([C:5]([H:18])([H:19])[H:20])([F:6])[N:10]([C:8]([C:7]([H:21])([H:22])[H:23])=[O:9])[N:11]=[C:12]1[C:13]#[N:14])([H:15])([H:16])[H:17],water,298.15,21.010449656942672,-48.10733943574076
29,[C:6]([O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])([H:15])([H:16])[H:17].[C:1](#[C:2][C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[H:24]>>[C:1]1([H:24])=[C:2]([C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[N:10]([C:8]([O:7][C:6]([H:15])([H:16])[H:17])=[O:9])[O:11][C:12]1([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23],water,298.15,20.107811511183016,-44.30852633639049
30,[C:6]([O:7][C:8](=[O:9])[N-:10][O+:11]=[C:12]([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])([H:15])([H:16])[H:17].[C:1](#[C:2][C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[H:24]>>[C:1]1([H:24])=[C:2]([C:3]([C:4]([H:25])([H:26])[H:27])=[O:5])[C:12]([C:13]([H:18])([H:19])[H:20])([C:14]([H:21])([H:22])[H:23])[O:11][N:10]1[C:8]([O:7][C:6]([H:15])([H:16])[H:17])=[O:9],water,298.15,18.05668151197062,-51.1679443487205
31,[C:1]([C:2]#[C:3][C:4]([F:5])([F:6])[F:7])([H:15])([H:16])[H:17].[C:8]([c-:9]1[o+:10][n:11][o:12][c:13]1=[O:14])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:9]2([C:8]([H:18])([H:19])[H:20])[O:10][N:11]1[O:12][C:13]2=[O:14])([H:15])([H:16])[H:17],water,298.15,20.551995826465863,-27.21132789089373
33,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][F:7])([H:16])([H:17])[H:18].[C:8]([C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15])([H:19])([H:20])[H:21]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([C:8]([H:19])([H:20])[H:21])=[N:10][C:11]1([C:12]#[N:13])[C:14]#[N:15])([H:16])([H:17])[H:18],water,298.15,17.918043329459735,-65.23115469978869
34,[C:1]([O:2][C:3](=[O:4])[C:5]#[C:6][F:7])([H:16])([H:17])[H:18].[C:8]([C:9]#[N+:10][C-:11]([C:12]#[N:13])[C:14]#[N:15])([H:19])([H:20])[H:21]>>[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:11]([C:12]#[N:13])([C:14]#[N:15])[N:10]=[C:9]1[C:8]([H:19])([H:20])[H:21])([H:16])([H:17])[H:18],water,298.15,17.645399883593914,-61.247184625272645
35,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]12[C:3]([F:4])([C:5]3([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]3)[C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[O:13][N:14]2[H:21])([H:22])([H:23])[H:24],water,298.15,13.035463990655394,-54.928038463755776
36,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]3([H:26])[C:7]([H:27])([C:8]1([H:28])[O:9]2)[N:14]([H:21])[O:13][C:11]3([C:10]([H:15])([H:16])[H:17])[C:12]([H:18])([H:19])[H:20])([H:22])([H:23])[H:24],water,298.15,15.219124659720332,-58.37910189129951
37,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]3([H:26])[C:7]([H:27])([C:8]1([H:28])[O:9]2)[C:11]([C:10]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[O:13][N:14]3[H:21])([H:22])([H:23])[H:24],water,298.15,11.427268394409836,-56.47809609143014
38,[C:10]([C:11]([C:12]([H:18])([H:19])[H:20])=[O+:13][N-:14][H:21])([H:15])([H:16])[H:17].[C:1]([C:2]1=[C:3]([F:4])[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]2)([H:22])([H:23])[H:24]>>[C:1]([C:2]12[C:3]([F:4])([C:5]3([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[O:9]3)[N:14]([H:21])[O:13][C:11]2([C:10]([H:15])([H:16])[H:17])[C:12]([H:18])([H:19])[H:20])([H:22])([H:23])[H:24],water,298.15,12.396244470703609,-55.21458727227736
41,[C-:8]([O+:9]=[C:10]([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:16])[H:17].[C:1]([C:2]#[C:3][C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])[C:10]([C:11]#[N:12])([C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])[O:9][C:8]1([H:16])[H:17])([H:21])([H:22])[H:23],water,298.15,11.3613455186223,-62.66494318286347
42,[C-:8]([O+:9]=[C:10]([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:16])[H:17].[C:1]([C:2]#[C:3][C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])([H:21])([H:22])[H:23]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[O:6][C:7]([H:24])([H:25])[H:26])[C:8]([H:16])([H:17])[O:9][C:10]1([C:11]#[N:12])[C:13]([C:14]([H:18])([H:19])[H:20])=[O:15])([H:21])([H:22])[H:23],water,298.15,9.208923690716231,-63.09711675674946
44,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]12[C:3]([H:24])([C:4]3([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]3)[C:10]([C:9]([H:16])([H:17])[H:18])([H:19])[O:11][C:12]2([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20],water,298.15,8.471905603499259,-66.58598221724517
45,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]3([H:26])[C:6]([H:27])([C:7]1([H:28])[O:8]2)[C:10]([C:9]([H:16])([H:17])[H:18])([H:19])[O:11][C:12]3([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20],water,298.15,9.38134669899998,-73.41291624208282
46,[C:9]([C:10](=[O+:11][C-:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])[H:20])[H:19])([H:16])([H:17])[H:18].[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]([H:26])=[C:6]([H:27])[C:7]1([H:28])[O:8]2>>[F:1][C:2]1=[C:3]([H:24])[C:4]2([H:25])[C:5]3([H:26])[C:6]([H:27])([C:7]1([H:28])[O:8]2)[C:12]([C:13]([C:14]([H:21])([H:22])[H:23])=[O:15])([H:20])[O:11][C:10]3([C:9]([H:16])([H:17])[H:18])[H:19],water,298.15,11.138215597379675,-62.71870346627578
47,[C:10]([C:11](=[O:12])[N:13]=[N+:14]([O-:15])[H:19])([H:16])([H:17])[H:18].[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[H:23])([H:20])([H:21])[H:22]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[N:13]([C:11]([C:10]([H:16])([H:17])[H:18])=[O:12])[N:14]([H:19])[O:15]1)[H:23])([H:20])([H:21])[H:22],water,298.15,30.527135917761505,-23.511089891644364
48,[C:10]([C:11](=[O:12])[N:13]=[N+:14]([O-:15])[H:19])([H:16])([H:17])[H:18].[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[H:23])([H:20])([H:21])[H:22]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([C:7]([C:8]([H:24])([H:25])[H:26])=[O:9])[O:15][N:14]([H:19])[N:13]1[C:11]([C:10]([H:16])([H:17])[H:18])=[O:12])[H:23])([H:20])([H:21])[H:22],water,298.15,31.101971678928237,-24.041721698292843
49,[C-:9]([N+:10]#[C:11][C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])([H:16])[H:17].[F:1][C:2]1=[C:3]([H:22])[C:4]2([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]2([H:29])[H:30]>>[F:1][C:2]12[C:3]([H:22])([C:4]3([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]3([H:29])[H:30])[C:9]([H:16])([H:17])[N:10]=[C:11]2[C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18],water,298.15,15.297343111329251,-62.82762794856691
50,[C-:9]([N+:10]#[C:11][C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])([H:16])[H:17].[F:1][C:2]1=[C:3]([H:22])[C:4]2([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]2([H:29])[H:30]>>[F:1][C:2]12[C:3]([H:22])([C:4]3([H:23])[C:5]([H:24])([H:25])[C:6]([H:26])([H:27])[C:7]1([H:28])[C:8]3([H:29])[H:30])[C:11]([C:12](=[O:13])[N:14]([C:15]([H:19])([H:20])[H:21])[H:18])=[N:10][C:9]2([H:16])[H:17],water,298.15,15.650014255362608,-65.92568266265953
51,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][O:7][C:8]([H:20])([H:21])[H:22])[H:19])([H:16])([H:17])[H:18].[C:9]([C-:10]([O+:11]=[C:12]([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:26])([H:23])([H:24])[H:25]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([O:7][C:8]([H:20])([H:21])[H:22])[C:12]([C:13]([H:27])([H:28])[H:29])([C:14]#[N:15])[O:11][C:10]1([C:9]([H:23])([H:24])[H:25])[H:26])[H:19])([H:16])([H:17])[H:18],water,298.15,10.15542011083826,-79.8481154130823
52,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][O:7][C:8]([H:20])([H:21])[H:22])[H:19])([H:16])([H:17])[H:18].[C:9]([C-:10]([O+:11]=[C:12]([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:26])([H:23])([H:24])[H:25]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([O:7][C:8]([H:20])([H:21])[H:22])[C:10]([C:9]([H:23])([H:24])[H:25])([H:26])[O:11][C:12]1([C:13]([H:27])([H:28])[H:29])[C:14]#[N:15])[H:19])([H:16])([H:17])[H:18],water,298.15,11.25015930928999,-85.0145831665319
55,[C-:12]([N+:13]#[C:14][C:15]([H:18])([H:19])[H:20])([H:16])[H:17].[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([H:24])[C:7]2([H:25])[C:8]([H:26])([H:27])[C:9]([H:28])([H:29])[C:10]1([H:30])[C:11]2([H:31])[H:32])([H:21])([H:22])[H:23]>>[C:1]([O:2][C:3](=[O:4])[C:5]12[C:6]([H:24])([C:7]3([H:25])[C:8]([H:26])([H:27])[C:9]([H:28])([H:29])[C:10]1([H:30])[C:11]3([H:31])[H:32])[C:14]([C:15]([H:18])([H:19])[H:20])=[N:13][C:12]2([H:16])[H:17])([H:21])([H:22])[H:23],water,298.15,6.415957409353537,-60.43166391533752
56,[C-:12]([N+:13]#[C:14][C:15]([H:18])([H:19])[H:20])([H:16])[H:17].[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:6]([H:24])[C:7]2([H:25])[C:8]([H:26])([H:27])[C:9]([H:28])([H:29])[C:10]1([H:30])[C:11]2([H:31])[H:32])([H:21])([H:22])[H:23]>>[C:1]([O:2][C:3](=[O:4])[C:5]12[C:6]([H:24])([C:7]3([H:25])[C:8]([H:26])([H:27])[C:9]([H:28])([H:29])[C:10]1([H:30])[C:11]3([H:31])[H:32])[C:12]([H:16])([H:17])[N:13]=[C:14]2[C:15]([H:18])([H:19])[H:20])([H:21])([H:22])[H:23],water,298.15,7.586041208705088,-58.62051556768857
57,[C:1]([C:2]#[C:3][F:4])([H:16])([H:17])[H:18].[C:5]([O:6][C:7](=[O:8])[C-:9]([C:10]#[N:11])[O+:12]=[C:13]([C:14]([H:22])([H:23])[H:24])[C:15]([H:25])([H:26])[H:27])([H:19])([H:20])[H:21]>>[C:1]([C:2]1=[C:3]([F:4])[C:9]([C:7]([O:6][C:5]([H:19])([H:20])[H:21])=[O:8])([C:10]#[N:11])[O:12][C:13]1([C:14]([H:22])([H:23])[H:24])[C:15]([H:25])([H:26])[H:27])([H:16])([H:17])[H:18],water,298.15,19.05139380688601,-67.42671176890343
