43,[C:1]([C:2]([N:10]([H:11])[H:12])([H:13])[H:16])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[Br:14].[Cl-:15]>>[Br-:14].[C:1](=[C:2]([N:10]([H:11])[H:12])[H:13])([N+:3](=[O:4])[O-:5])[C:6]([H:7])([H:8])[H:9].[Cl:15][H:16]
44,[C:1]([C:2]([C:5]([H:6])([H:7])[H:8])([C:9]#[N:10])[H:13])([H:3])([H:4])[Cl:11].[Cl-:12]>>[C:1](=[C:2]([C:5]([H:6])([H:7])[H:8])[C:9]#[N:10])([H:3])[H:4].[Cl-:11].[Cl:12][H:13]
45,[Br-:11].[C:1]([C:2]([N:6]([H:7])[H:8])([H:9])[H:12])([C:3]#[N:4])([H:5])[Cl:10]>>[C:1]([C:2]([N:6]([H:7])[H:8])([H:9])[H:12])([C:3]#[N:4])([H:5])[Br:11].[Cl-:10]
46,[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([N:3]([H:4])[H:5])([C:6]#[N:7])[Br:14].[F-:15]>>[Br-:14].[C:1](=[C:2]([N:8]([H:9])[H:10])[N:11]([H:12])[H:13])([N:3]([H:4])[H:5])[C:6]#[N:7].[F:15][H:16]
47,[C:1]([C:2]([C:9]#[N:10])([C:11]#[N:12])[H:15])([N:3]([H:4])[H:5])([N:6]([H:7])[H:8])[Cl:13].[F-:14]>>[C:1]([C:2]([C:9]#[N:10])([C:11]#[N:12])[H:15])([N:3]([H:4])[H:5])([N:6]([H:7])[H:8])[F:14].[Cl-:13]
48,[C:1]([C:2]([H:7])([H:8])[H:11])([N:3]([H:4])[H:5])([H:6])[F:9].[Cl-:10]>>[C:1]([C:2]([H:7])([H:8])[H:11])([N:3]([H:4])[H:5])([H:6])[Cl:10].[F-:9]
49,[Br-:14].[C:1]([C:2]([C:8]([H:9])([H:10])[H:11])([H:12])[H:15])([H:3])([C:4]([H:5])([H:6])[H:7])[F:13]>>[C:1]([C:2]([C:8]([H:9])([H:10])[H:11])([H:12])[H:15])([H:3])([C:4]([H:5])([H:6])[H:7])[Br:14].[F-:13]
50,[C:1]([C:2]([H:9])([H:10])[H:13])([C:3]([H:4])([H:5])[H:6])([C:7]#[N:8])[Cl:11].[Cl-:12]>>[C:1](=[C:2]([H:9])[H:10])([C:3]([H:4])([H:5])[H:6])[C:7]#[N:8].[Cl-:11].[Cl:12][H:13]
51,[C:1]([C:2]([H:8])([C:9]([H:10])([H:11])[H:12])[H:15])([C:3]([H:4])([H:5])[H:6])([H:7])[Br:13].[F-:14]>>[Br-:13].[C:1]([C:2]([H:8])([C:9]([H:10])([H:11])[H:12])[H:15])([C:3]([H:4])([H:5])[H:6])([H:7])[F:14]
52,[C:1]([C:2]([C:9]([H:10])([H:11])[H:12])([C:13]([H:14])([H:15])[H:16])[H:19])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Cl:17].[F-:18]>>[C:1]([C:2]([C:9]([H:10])([H:11])[H:12])([C:13]([H:14])([H:15])[H:16])[H:19])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[F:18].[Cl-:17]
53,[C:1]([C:2]([N:9]([H:10])[H:11])([H:12])[H:15])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[F:13].[Cl-:14]>>[C:1]([C:2]([N:9]([H:10])[H:11])([H:12])[H:15])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Cl:14].[F-:13]
54,[C:1]([C:2]([C:9]([H:10])([H:11])[H:12])([C:13]#[N:14])[H:17])([N:3]([H:4])[H:5])([N+:6](=[O:7])[O-:8])[Br:15].[F-:16]>>[Br-:15].[C:1]([C:2]([C:9]([H:10])([H:11])[H:12])([C:13]#[N:14])[H:17])([N:3]([H:4])[H:5])([N+:6](=[O:7])[O-:8])[F:16]
55,[C:1]([C:2]([H:7])([N+:8](=[O:9])[O-:10])[H:13])([H:3])([N:4]([H:5])[H:6])[Cl:11].[F-:12]>>[C:1]([C:2]([H:7])([N+:8](=[O:9])[O-:10])[H:13])([H:3])([N:4]([H:5])[H:6])[F:12].[Cl-:11]
56,[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([H:3])([C:4]([H:5])([H:6])[H:7])[F:11].[Cl-:12]>>[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([H:3])([C:4]([H:5])([H:6])[H:7])[Cl:12].[F-:11]
57,[C:1]([C:2]([H:9])([H:10])[H:13])([C:3]([H:4])([H:5])[H:6])([C:7]#[N:8])[Br:11].[Cl-:12]>>[Br-:11].[C:1]([C:2]([H:9])([H:10])[H:13])([C:3]([H:4])([H:5])[H:6])([C:7]#[N:8])[Cl:12]
58,[Br-:10].[C:1]([C:2]([N:5]([H:6])[H:7])([H:8])[H:11])([H:3])([H:4])[Br:9]>>[Br-:9].[Br:10][H:11].[C:1](=[C:2]([N:5]([H:6])[H:7])[H:8])([H:3])[H:4]
59,[Br-:14].[C:1]([C:2]([N:9]([H:10])[H:11])([H:12])[H:15])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Cl:13]>>[Br:14][H:15].[C:1](=[C:2]([N:9]([H:10])[H:11])[H:12])([C:3]#[N:4])[C:5]([H:6])([H:7])[H:8].[Cl-:13]
60,[C:1]([C:2]([N:10]([H:11])[H:12])([H:13])[H:16])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[Cl:14].[F-:15]>>[C:1](=[C:2]([N:10]([H:11])[H:12])[H:13])([C:3]([H:4])([H:5])[H:6])[N+:7](=[O:8])[O-:9].[Cl-:14].[F:15][H:16]
61,[C:1]([C:2]([C:8]#[N:9])([C:10]([H:11])([H:12])[H:13])[H:16])([C:3]#[N:4])([N:5]([H:6])[H:7])[Cl:14].[Cl-:15]>>[C:1](=[C:2]([C:8]#[N:9])[C:10]([H:11])([H:12])[H:13])([C:3]#[N:4])[N:5]([H:6])[H:7].[Cl-:14].[Cl:15][H:16]
62,[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([C:3]([H:4])([H:5])[H:6])([H:7])[Br:14].[Cl-:15]>>[Br-:14].[C:1](=[C:2]([N:8]([H:9])[H:10])[N:11]([H:12])[H:13])([C:3]([H:4])([H:5])[H:6])[H:7].[Cl:15][H:16]
63,[C:1]([C:2]([N:7]([H:8])[H:9])([H:10])[H:13])([N:3]([H:4])[H:5])([H:6])[Br:11].[F-:12]>>[Br-:11].[C:1](=[C:2]([N:7]([H:8])[H:9])[H:10])([N:3]([H:4])[H:5])[H:6].[F:12][H:13]
64,[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([N:14]([H:15])[H:16])[H:19])([N:3]([H:4])[H:5])([C:6]([H:7])([H:8])[H:9])[Br:17].[F-:18]>>[Br-:17].[C:1](=[C:2]([C:10]([H:11])([H:12])[H:13])[N:14]([H:15])[H:16])([N:3]([H:4])[H:5])[C:6]([H:7])([H:8])[H:9].[F:18][H:19]
65,[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]([H:11])([H:12])[H:13])[H:16])([H:3])([N:4]([H:5])[H:6])[Cl:14].[F-:15]>>[C:1]([C:2]([N:7]([H:8])[H:9])([C:10]([H:11])([H:12])[H:13])[H:16])([H:3])([N:4]([H:5])[H:6])[F:15].[Cl-:14]
66,[C:1]([C:2]([N:9]([H:10])[H:11])([C:12]([H:13])([H:14])[H:15])[H:18])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Br:16].[F-:17]>>[Br-:16].[C:1]([C:2]([N:9]([H:10])[H:11])([C:12]([H:13])([H:14])[H:15])[H:18])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[F:17]
67,[C:1]([C:2]([C:6]#[N:7])([C:8]#[N:9])[H:12])([C:3]#[N:4])([H:5])[F:10].[F-:11]>>[C:1](=[C:2]([C:6]#[N:7])[C:8]#[N:9])([C:3]#[N:4])[H:5].[F-:10].[F:11][H:12]
68,[C:1]([C:2]([H:10])([H:11])[H:14])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([H:10])([H:11])[H:14])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[F:13]
69,[C:1]([C:2]([H:7])([C:8]([H:9])([H:10])[H:11])[H:14])([C:3]#[N:4])([C:5]#[N:6])[Br:12].[Cl-:13]>>[Br-:12].[C:1]([C:2]([H:7])([C:8]([H:9])([H:10])[H:11])[H:14])([C:3]#[N:4])([C:5]#[N:6])[Cl:13]
70,[C:1]([C:2]([N+:5](=[O:6])[O-:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([H:4])[Br:12].[Cl-:13]>>[Br-:12].[C:1]([C:2]([N+:5](=[O:6])[O-:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([H:4])[Cl:13]
71,[C:1]([C:2]([N:7]([H:8])[H:9])([N:10]([H:11])[H:12])[H:15])([C:3]#[N:4])([C:5]#[N:6])[Br:13].[Cl-:14]>>[Br-:13].[C:1](=[C:2]([N:7]([H:8])[H:9])[N:10]([H:11])[H:12])([C:3]#[N:4])[C:5]#[N:6].[Cl:14][H:15]
72,[C:1]([C:2]([H:9])([H:10])[H:13])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Br:11].[Cl-:12]>>[Br-:11].[C:1]([C:2]([H:9])([H:10])[H:13])([C:3]#[N:4])([C:5]([H:6])([H:7])[H:8])[Cl:12]
73,[C:1]([C:2]([H:9])([C:10]([H:11])([H:12])[H:13])[H:16])([N+:3](=[O:4])[O-:5])([N:6]([H:7])[H:8])[Cl:14].[F-:15]>>[C:1](=[C:2]([H:9])[C:10]([H:11])([H:12])[H:13])([N+:3](=[O:4])[O-:5])[N:6]([H:7])[H:8].[Cl-:14].[F:15][H:16]
74,[C:1]([C:2]([H:7])([H:8])[H:11])([N:3]([H:4])[H:5])([H:6])[Br:9].[F-:10]>>[Br-:9].[C:1](=[C:2]([H:7])[H:8])([N:3]([H:4])[H:5])[H:6].[F:10][H:11]
75,[C:1]([C:2]([H:10])([C:11]([H:12])([H:13])[H:14])[H:17])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[Cl:15].[F-:16]>>[C:1](=[C:2]([H:10])[C:11]([H:12])([H:13])[H:14])([N+:3](=[O:4])[O-:5])[C:6]([H:7])([H:8])[H:9].[Cl-:15].[F:16][H:17]
76,[C:1]([C:2]([N+:6](=[O:7])[O-:8])([H:9])[H:12])([C:3]#[N:4])([H:5])[Br:10].[F-:11]>>[Br-:10].[C:1]([C:2]([N+:6](=[O:7])[O-:8])([H:9])[H:12])([C:3]#[N:4])([H:5])[F:11]
77,[C:1]([C:2]([C:7]([H:8])([H:9])[H:10])([C:11]#[N:12])[H:15])([N+:3](=[O:4])[O-:5])([H:6])[Br:13].[F-:14]>>[Br-:13].[C:1]([C:2]([C:7]([H:8])([H:9])[H:10])([C:11]#[N:12])[H:15])([N+:3](=[O:4])[O-:5])([H:6])[F:14]
78,[C:1]([C:2]([H:11])([C:12]([H:13])([H:14])[H:15])[H:18])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[Cl:16].[F-:17]>>[C:1]([C:2]([H:11])([C:12]([H:13])([H:14])[H:15])[H:18])([C:3]([H:4])([H:5])[H:6])([C:7]([H:8])([H:9])[H:10])[F:17].[Cl-:16]
79,[Br-:12].[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([H:3])([C:4]([H:5])([H:6])[H:7])[F:11]>>[C:1]([C:2]([H:8])([C:9]#[N:10])[H:13])([H:3])([C:4]([H:5])([H:6])[H:7])[Br:12].[F-:11]
80,[C:1]([C:2]([H:10])([N:11]([H:12])[H:13])[H:16])([C:3]([H:4])([H:5])[H:6])([N+:7](=[O:8])[O-:9])[Br:14].[F-:15]>>[Br-:14].[C:1](=[C:2]([H:10])[N:11]([H:12])[H:13])([C:3]([H:4])([H:5])[H:6])[N+:7](=[O:8])[O-:9].[F:15][H:16]
81,[C:1]([C:2]([C:6]#[N:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([C:4]#[N:5])[Br:12].[F-:13]>>[Br-:12].[C:1]([C:2]([C:6]#[N:7])([C:8]([H:9])([H:10])[H:11])[H:14])([H:3])([C:4]#[N:5])[F:13]
82,[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([H:3])([C:4]([H:5])([H:6])[H:7])[F:14].[Cl-:15]>>[C:1]([C:2]([N:8]([H:9])[H:10])([N:11]([H:12])[H:13])[H:16])([H:3])([C:4]([H:5])([H:6])[H:7])[Cl:15].[F-:14]
83,[Br-:16].[C:1]([C:2]([C:8]([H:9])([H:10])[H:11])([N:12]([H:13])[H:14])[H:17])([H:3])([C:4]([H:5])([H:6])[H:7])[Cl:15]>>[C:1]([C:2]([C:8]([H:9])([H:10])[H:11])([N:12]([H:13])[H:14])[H:17])([H:3])([C:4]([H:5])([H:6])[H:7])[Br:16].[Cl-:15]
84,[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([H:14])[H:17])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[Br:15].[F-:16]>>[Br-:15].[C:1]([C:2]([C:10]([H:11])([H:12])[H:13])([H:14])[H:17])([N+:3](=[O:4])[O-:5])([C:6]([H:7])([H:8])[H:9])[F:16]
85,[C:1]([C:2]([N+:8](=[O:9])[O-:10])([N+:11](=[O:12])[O-:13])[H:16])([C:3]([H:4])([H:5])[H:6])([H:7])[Cl:14].[F-:15]>>[C:1]([C:2]([N+:8](=[O:9])[O-:10])([N+:11](=[O:12])[O-:13])[H:16])([C:3]([H:4])([H:5])[H:6])([H:7])[F:15].[Cl-:14]
